community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲四期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
招商臻境,,,,,精装修,,,,dataset.csv,anjuke_kaggle
三林新村(永泰路133弄),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城昱星家园(东区),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
新高桥春晖苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
保利铃兰公馆(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
嘉宝前滩后院,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
恒大翰城瀚林苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城航武嘉园(东区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
依水园(一期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
豪嘉府邸,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
瀚锦苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹中路2弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
纯翠苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦凌佳苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
保利锦上,,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹梅别墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
吴中路1001弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城汇贤雅苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
良友大厦,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
和康苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
杨南新村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿洲康城金邸,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱法奥朗新庄园,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
富力十号(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海上风华,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
聚缘中庭,,,,,精装修,,,,dataset.csv,anjuke_kaggle
四季都会·青藤里,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
源城锦翠苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
